id,question,solution,type,answer,1st_grade,2nd_area,3rd_subarea1,4th_subarea2,5th_content,difficulty,attempts,final_results
32401,윤지는 원기둥 모양의 과자 포장지를 펼쳐서 전개도를 만들었습니다. 전개도에서 옆면인 직사각형의 넓이는 몇 cm²인지 풀이 과정을 쓰고 답을 구하세요. (원주율: 3),"(직사각형의 가로)＝(원기둥의 밑면의 둘레)＝9×2×3＝54(cm), (직사각형의 넓이)＝54×12＝648(cm²)",sub,648,56,도형,원기둥과 원뿔,원기둥,전개도,2,,
32402,원기둥의 각 부분의 이름을  안에 써넣으세요.,원기둥에서 서로 평행하고 합동인 두 면을 밑면이라고 합니다.,sub,"밑면,옆면",56,도형,원기둥과 원뿔,원기둥,구성요소,1,,
32403,원뿔의 각 명칭이 바르게 짝지어지지 않은 것은 어느 것일까요?,원뿔의 꼭짓점과 밑면인 원 둘레의 한 점을 이은 선분을 모선이라고 합니다.,obj,3,56,도형,원기둥과 원뿔,원뿔,구성요소,1,,
32404,반원 모양의 종이를 지름을 기준으로 돌려 만든 입체도형의 이름을 써 보세요.,반원 모양의 종이를 지름을 기준으로 돌리면 구가 만들어집니다.,sub,구,56,도형,원기둥과 원뿔,구,성질,1,,
32405,원뿔의 밑면의 지름을 바르게 잰 것을 찾아 기호를 쓰세요.,"㉠은 모선의 길이를 잰 것이고, ㉡은 원뿔의 높이를 잰 것입니다.",sub,ㄷ,56,도형,원기둥과 원뿔,원뿔,구성요소,1,,
32406,구의 반지름은 몇 cm일까요?,구의 반지름은 구의 중심에서 구의 표면의 한 점을 이은 선분이므로 11cm입니다.,sub,11,56,도형,원기둥과 원뿔,구,구성요소,1,,
32407,승지네 모둠 학생들이 원기둥에 대해 설명한 것입니다. 잘못 설명한 사람의 이름을 쓰고 바르게 고치세요.,원기둥에서 두 밑면에 수직인 선분의 길이를 높이라고 합니다.,sub,지우,56,도형,원기둥과 원뿔,원기둥,성질,2,,
32408,원기둥의 높이는 몇 cm일까요?,원기둥에서 두 밑면과 수직인 선분이 높이이므로 8cm입니다.,sub,8,56,도형,원기둥과 원뿔,원기둥,구성요소,1,,
32409,원기둥의 높이는 몇 cm일까요?,원기둥의 높이는 원기둥의 전개도에서 옆면의 세로인 17cm입니다.,sub,17,56,도형,원기둥과 원뿔,원기둥,전개도,2,,
32410,반원 모양의 종이를 지름을 기준으로 돌려서 만든 입체도형의 반지름은 몇 cm일까요?,지름이 12cm인 반원을 지름을 기준으로 돌리면 지름이 12cm인 구가 만들어집니다.⇨ 만들어진 구의 반지름은 6cm입니다.,sub,6,56,도형,원기둥과 원뿔,구,구성요소,2,,
32411,원기둥을 모두 고르세요.,① 밑면이 1개입니다.   ② 두 밑면이 서로 평행하지 않습니다.  ④ 두 밑면이 합동이 아닙니다.,obj,"3,5",56,도형,원기둥과 원뿔,원기둥,정의,1,,
32412,배구를 변형하여 만든 킨볼은 가볍고 큰 공을 세 개 팀이 손이나 발로 치고 받으며 점수를 내는 경기입니다. 킨볼에서 사용하는 공의 반지름은 몇 cm일까요?,구 모양인 킨볼의 지름이 100cm이므로 반지름은 50cm입니다.,sub,50,56,도형,원기둥과 원뿔,구,구성요소,1,,
32413,원기둥과 원기둥의 전개도입니다.  안에 알맞은 수를 써넣으세요.,"밑면의 반지름이 3cm, 높이가 5cm인 원기둥의 전개도를 나타낸 것입니다. 원기둥의 전개도에서 옆면인 직사각형의 세로는 원기둥의 높이와 같습니다.",sub,5,56,도형,원기둥과 원뿔,원기둥,전개도,1,,
32414,원뿔을 찾아 기호를 쓰세요.,밑면이 원이고 옆면이 굽은 면인 뿔 모양의 도형은 가입니다.,sub,가,56,도형,원기둥과 원뿔,원뿔,정의,1,,
32415,두 원기둥의 밑면의 반지름의 차는 몇 cm일까요?,"원기둥 가의 반지름: 9cm원기둥 나의 반지름: 10÷2＝5(cm), 두 원기둥의 반지름의 차: 9-5＝4(cm)",sub,4,56,도형,원기둥과 원뿔,원기둥,구성요소,2,,
32416,원기둥을 찾아 기호를 쓰세요.,옆을 둘러싼 면이 굽은 면이고 위와 아래에 있는 평평한 면이 서로 평행하고 합동인 원인 입체도형을 찾으면 다입니다.,sub,다,56,도형,원기둥과 원뿔,원기둥,정의,1,,
32417,직사각형 모양의 종이를 한 변을 기준으로 돌려서 만든 입체도형의 이름을 쓰세요.,직사각형 모양의 종이를 한 변을 기준으로 돌리면 원기둥이 만들어집니다.,sub,원기둥,56,도형,원기둥과 원뿔,원기둥,정의,1,,
32418,원기둥에 대해 바르게 설명한 사람은 누구일까요?,선우:원기둥은 입체도형입니다. / 예지:원기둥은 각기둥이라고 할 수 없습니다. / 지수:원기둥은 위아래에 있는 두 면이 원입니다.,sub,동명,56,도형,원기둥과 원뿔,원기둥,성질,2,,
32419,원뿔의 무엇을 재는 그림일까요?,원뿔의 높이는 원뿔의 꼭짓점에서 밑면에 수직인 선분의 길이입니다.,sub,높이,56,도형,원기둥과 원뿔,원뿔,구성요소,1,,
32420,넓이가 86.8cm²인 원기둥의 전개도가 있습니다.  안에 알맞은 수를 써넣으세요. (원주율: 3.1),"원기둥의 높이를 □cm라 하면(2×2×3.1)×2＋4×3.1×□＝86.8, 24.8＋12.4×□＝86.8,  12.4×□＝86.8-24.8, 12.4×□＝62, □＝62÷12.4＝5",sub,5,56,도형,원기둥과 원뿔,원기둥,전개도,3,,
32421,다음 구는 지름이 몇 cm인 반원 모양의 종이를 지름을 기준으로 돌려서 만든 것일까요?,구의 반지름이 8cm이므로 반지름이 8cm인 반원을 돌려서 만든 것입니다. 지름이 16cm인 반원을 돌려서 만든 것입니다.,sub,16,56,도형,원기둥과 원뿔,구,구성요소,2,,
32422,원기둥 모양 롤러에 페인트를 묻힌 후 한 바퀴 굴렸더니 색칠한 부분의 넓이가 279cm²였습니다. 롤러의 밑면의 지름은 몇 cm인지 풀이 과정을 쓰고 답을 구하세요. (원주율: 3.1),"롤러를 칠한 부분은 롤러의 옆면의 넓이와 같습니다. 롤러의 밑면의 지름을 □cm라 하면 □×3.1×13＝201.5 □×3.1＝15.5 □＝5 따라서, 지름은 5cm입니다.",sub,5,56,도형,원기둥과 원뿔,원기둥,전개도,3,,
32423,보라는 원기둥 모양의 과자 그릇의 포장지를 다음과 같이 잘라 펼쳤습니다. 선분 ㄱㄹ은 몇 cm인지 식을 쓰고 답을 구하세요. (원주율: 3),선분 ㄱㄹ의 길이는 원기둥의 한 밑면의 둘레와 같습니다. (선분 ㄱㄹ)＝5×2×3＝30(cm),sub,30,56,도형,원기둥과 원뿔,원기둥,전개도,2,,
32424,통조림의 전개도의 옆면의 넓이는 몇 cm²일까요?,"(통조림 전개도의 옆면의 가로)＝(통조림의 한 밑면의 둘레)＝4×2×3＝24(cm), (통조림 전개도의 옆면의 세로)＝(원기둥의 높이)＝12cm, (통조림 전개도의 옆면의 넓이)＝24×12＝288(cm²)",sub,288,56,도형,원기둥과 원뿔,원기둥,전개도,2,,
32425,선분 ㅁㅂ은 몇 cm일까요?,선분 ㅁㅂ의 길이는 원기둥의 높이와 같습니다. 두 밑면에 수직인 선분의 길이가 높이이므로 7cm입니다.,sub,7,56,도형,원기둥과 원뿔,원기둥,전개도,2,,
32426,원기둥을 앞에서 본 모양입니다.  안에 알맞은 수를 써넣으세요.,"원기둥을 앞에서 본 모양은 직사각형입니다. 이 직사각형의 가로는 밑면의 지름과 같은 15cm, 세로는 높이와 같은 13cm입니다.",sub,13,56,도형,원기둥과 원뿔,원기둥,성질,2,,
32427,"어떤 입체도형을 위, 앞, 옆에서 본 것입니다. 이 입체도형의 이름은 무엇일까요?",어느 방향에서 보아도 원 모양인 입체도형은 구입니다.,sub,구,56,도형,원기둥과 원뿔,구,성질,2,,
32428,두 원뿔의 모선의 길이의 차는 몇 cm일까요?,"가의 모선의 길이: 17cm나의 모선의 길이: 5cm, 두 원뿔의 모선의 길이의 차는 17－5＝12(cm)입니다.",sub,12,56,도형,원기둥과 원뿔,원뿔,구성요소,2,,
32429,원기둥의 전개도에 대하여 바르게 말한 사람은 누구일까요?,보라: 옆면의 가로는 한 밑면의 둘레와 같습니다. 선우: 옆면의 세로는 원기둥의 높이와 같습니다. 지강 : 사각형 ㄱㄴㄷㄹ의 넓이는 옆면의 넓이와 같습니다.,sub,유석,56,도형,원기둥과 원뿔,원기둥,성질,2,,
32430,그림과 같은 원기둥 모양의 통을 8바퀴 굴렸더니 움직인 거리가 396.8cm였습니다. 이 원기둥의 전개도의 넓이는 몇 cm²일까요?,원기둥의 밑면인 원의 반지름을 □cm라 하면 (□×2×3.1)×8＝396.8 □＝396.8÷8÷3.1÷2＝8입니다. (원기둥의 겉넓이)＝(한 밑면의 넓이)×2＋(옆면의 넓이)＝(8×8×3.1)×2＋(8×2×3.1)×24＝396.8＋1190.4＝1587.2 (cm²),sub,1587.2,56,도형,원기둥과 원뿔,원기둥,전개도,3,,
32431,원기둥의 전개도에서 한 밑면의 넓이가 다음과 같을 때 선분 ㄱㄹ은 몇 cm인지 풀이 과정을 쓰고 답을 구하세요. (원주율: 3),"밑면의 반지름을 □cm라 하면□×□×3＝675, □×□＝675÷3, □×□＝225, □＝15입니다.따라서 선분 ㄱㄹ의 길이는 한 밑면의 둘레와 같으므로 13×2×3＝78(cm)입니다.",sub,78,56,도형,원기둥과 원뿔,원기둥,전개도,3,,
32432,직각삼각형 모양의 종이를 한 변을 기준으로 돌려 원뿔을 만든 것입니다. 돌린 직각삼각형 모양의 종이의 넓이는 몇 cm²일까요?,"높이가 9cm, 밑변의 길이가 12cm인 직각삼각형 모양의 종이를 돌린 것입니다.(직각삼각형의 넓이)＝9×12÷2＝54(cm²)",sub,54,56,도형,원기둥과 원뿔,원뿔,정의,3,,
32433,그림과 같이 직사각형 가와 나의 한 변을 기준으로 각각 돌렸을 때 만들어지는 입체도형 중 어느 도형의 밑면의 지름이 몇 cm 더 긴지 차례로 쓰세요.,"직사각형 가를 한 변을 기준으로 돌리면 밑면의 반지름이 3cm, 높이가 12cm인 원기둥이 됩니다.직사각형 나를 한 변을 기준으로 돌리면 밑면의 반지름이 5cm, 높이가 8cm인 원기둥이 됩니다.따라서 나의 밑면의 지름이 5×2-3×2＝10-6＝4(cm) 더 깁니다.",sub,4,56,도형,원기둥과 원뿔,원기둥,정의,3,,
32434,원기둥의 전개도에서 옆면의 넓이가 678.24cm²일 때 밑면의 반지름은 몇 cm일까요? ,"(옆면의 넓이)＝(한 밑면의 둘레)×12＝678.24(cm²)
(한 밑면의 둘레)＝678.24÷12＝56.52(cm), 밑면의 반지름을 □cm라 하면□×2×3.14＝56.52, □×6.28＝56.52, □＝56.52÷6.28, □＝9, 밑면의 반지름은 9cm입니다.",sub,9,56,도형,원기둥과 원뿔,원기둥,전개도,3,,
32435,다음 구를 위에서 본 모양의 둘레는 몇 cm일까요? (원주율: 3.1),구를 위에서 본 모양은 지름이 12cm인 원입니다.(지름이 14cm인 원의 둘레)＝14×3.1＝43.4(cm),sub,43.4,56,도형,원기둥과 원뿔,구,정의,3,,
